FF,Publish,Photo Ready?,List on front page?,Gender,First Name,Last Name,Title,Company,Tagline,Order (front page),Order (speaker page),Type (default: speaker),Bio Ready?,Biography,timestamp,P Facebook,P Twitter,P LinkedIn
y,y,y,y,m,Andy,Bechtolsheim,Founder and Chief Development Officer, Arista Networks ,"Founder and Chief Development Officer, Arista Networks ",,,speaker,y,"As Chief Development Officer, Andy Bechtolsheim is responsible for the overall product development and technical direction of Arista Networks.Previously Andy was a Founder and Chief System Architect at Sun Microsystems, where most recently he was responsible for industry standard server architecture. Andy was also a Founder and President of Granite Systems, a Gigabit Ethernet startup acquired by Cisco Systems in 1996. From 1996 until 2003 Andy served as VP/GM of the Gigabit Systems Business Unit at Cisco that developed the very successful Catalyst 4500 family of switches. Andy was also a Founder and President of Kealia, a next generation server company acquired by Sun in 2004. Andy received an M.S. in Computer Engineering from Carnegie Mellon University in 1976 and was a Ph.D. Student at Stanford University from 1977 until 1982.",,,,
y,y,y,y,m,Ian,Blaine ,CEO,thePlatform,"CEO, thePlatform",13,,speaker,y,"Ian Blaine is CEO and co-founder of thePlatform and has been at the forefront of online video for more than a decade. Under his leadership, thePlatform has become the leading “white-label” video management and publishing company for many of the largest media and entertainment companies, including 5 of the largest TV service providers in the North America. In June 2006, Ian led thePlatform through the acquisition by Comcast and now also serves as Senior Vice President in Comcast Converged Products. Immediately prior to forming thePlatform, Ian successfully launched and sold an Internet company called Uniplanet to NBCi in 1999. Before that, he was at Aldus/Adobe Systems in product development and product management roles.",,,,
y,y,y,y,m,Adam,Bosworth,Founder and CTO,Keas,"Founder and CTO, Keas",9,,speaker,y,"Adam Bosworth is a technology leader and innovator who was instrumental in building numerous technology products, including Google Health, Microsoft Access, Microsoft Internet Explorer and BEA WebLogic Integration and Workshop. Adam founded Keas in 2008 to help people improve their lives by helping them to be healthier, and to help employers have a healthier, happier and more productive workforce. Adam received a bachelor’s degree in history from Harvard University.",,http://www.facebook.com/adambosworth,@adambosworth,http://www.linkedin.com/pub/adam-bosworth/0/8a9/b1b
y,y,y,y,m,Bob,Bowman,CEO,MLB.com,"CEO, MLB.com",16,,speaker,y,"Bob Bowman joined MLB Advanced Media LP, the interactive media and Internet company of Major League Baseball, as its first President and CEO in 2000. MLBAM was created when the owners of the 30 MLB Clubs voted to centralize Baseball’s Internet operations under one roof. Prior to joining MLBAM, Mr. Bowman was President/COO of ITT Corporation and also had served as Treasurer for the State of Michigan (1983-91). Mr. Bowman also worked with Goldman Sachs, and served in the US Department of the Treasury as Special Assistant to the Assistant Secretary for Domestic Finance. A Milwaukee native, Mr. Bowman graduated from Harvard College and received his M.B.A. from The Wharton School. He serves as President of the Michigan Education Trust.",,,,
y,y,y,y,m,David,Card,Research Director,GigaOM Pro,"Research Director, GigaOM Pro",,,speaker,y,"David Card has been following the intersection of technology, media, and consumer behavior 20+ years at GigaOM Pro, Jupiter Research, IDC and Forrester. At Jupiter, Card headed up digital media and marketing research, and acted as VP, research development. At IDC he was lead Microsoft and consumer Internet analyst. Aside from GigaOM, Forrester and Jupiter Forums, Card has spoken at major industry events such as E3, the Newspaper Association of America’s new media conference, the PBS/NPR new media forum, Texas University’s Online Journalism Symposium, Digital Music Forum East, Digital Hollywood, the Inverge conference, and Software Marketing Perspectives. He is frequently quoted in the traditional and online press and has appeared on ABC World News Tonight, ESPN, and NPR.",,,@davidcard,http://www.linkedin.com/profile/view?id=2831692
y,y,y,y,m,Brian ,Chesky,CEO and Co-Founder,Airbnb,"CEO and Co-Founder, Airbnb",2,,speaker,y,"Brian drives the company's vision, strategy and growth. Always pushing the status quo, Brian aims to disrupt the industry with ideas that change the way people live. To grasp the full impact and experience of Airbnb, Brian rid himself of an apartment and lived in the homes of the Airbnb community since for 6 months in 2010. He is committed to assembling a passionate, top tier team to deliver on this promise. Before Airbnb, Brian ran an industrial design shop in Los Angeles; even these days he is rarely seen without a drafting pen and sketch book in hand. Brian holds a Bachelor of Fine Arts in industrial design from the Rhode Island School of Design.",,,,
y,y,y,y,m,Tom,Conrad,CTO and EVP of Product,Pandora,"CTO and EVP of Product, Pandora",3,,speaker,y,"Tom Conrad leads Pandora’s product organization, including product management, user interface design, software development and, network operations. Tom has led numerous engineering and product design teams across several applications. Before joining Pandora, Tom was VP of Engineering at Kenamea and was responsible for the design and development of an award-winning messaging system. Tom previously was the Technical Director for the video game, ""You Don't Know Jack."" Past experience includes positions at Berkeley Systems, Relevance Technologies, Documentum, Pets.com, and Apple Computer. He holds three U.S. patents and a B.S. in Computer Engineering from the University of Michigan. Tom holds both technology and music close to his heart. He likes to say the only instrument he plays well is his stereo.",,,@tconrad,
y,y,y,y,m,Jack,Dorsey,Co-Founder and CEO ,Square,"Co-Founder and CEO, Square",1,,speaker,y,"Jack Dorsey is the creator, co-founder, and Executive Chairman of Twitter, Inc. and the co-founder and CEO of Square, Inc.",,,@Jack,
y,y,y,y,m,Tony,Fadell,Founder and CEO,Nest Labs,"Founder and CEO, Nest Labs",,,speaker,y,"Tony is founder and CEO of Nest Labs. The Nest Learning Thermostat learns human behaviors and preferences, automatically adjusting the temperature so you can stay comfortable while saving energy and money. Previously, Tony led the team that created the first 18 generations of the iPod and the first three generations of the iPhone. Before Apple, Tony built the Mobile Computing group at Philips Electronics. Tony has authored more than 75 patents. He graduated from the University of Michigan with a bachelor's degree in computer engineering.",,www.facebook.com/nest,@nest,
y,y,y,y,f,Katie,Fehrenbacher,Senior Writer,GigaOM,"Senior Writer, GigaOM",,,speaker,y,"Katie Fehrenbacher has been covering cutting-edge technology, startups and entrepreneurs in Silicon Valley for more than 7 years. She is the founding Editor of Earth2Tech, which she launched in July 2007. Prior to starting Earth2Tech she was a Staff Writer for GigaOM where she covered wireless and broadband technology. She has been a reporter at Red Herring, an editor at Engadget and began her career as a reporter in the Silicon Valley bureau of the largest Japanese daily newspaper, the Yomiuri Shimbun.",,,,
