 Publish?,Logo Ready?,Slug,Name,Order,Tagline,Type,URL,Description,Media Partner URL
yes,yes,silverspring,SilverSpring Networks,,,headline,http://events.earth2tech.com/greennet/10/img/greennet/silverspring.gif,,
yes,yes,magnify,Magnify Communications,,,management,http://www.magnifycom.com/,,
yes,yes,churchill,Churchill Club,,,mediapartner,http://www.churchillclub.org/,"is the valley’s premier business and technology forum.  This  23 year old non-profit has built a rep for dynamic, in-the-news programs where CEOs, up-and-coming execs and national business and thought leaders meet to discuss and debate, inform and educate, forecast and evaluate. Past speakers:  Microsoft (Bill Gates and Steve Ballmer), Cisco Systems (John Chambers), Intel (Bob Noyce),  John Doerr, Roger McNamee, Michael Moritz, George W. Bush, Bill Clinton, Rudy Giuliani and John McCain. For more information, visit www.churchhillclub.org ",http://event.gigaom.com/greennet/sponsors/media-partners/
yes,yes,ctsi,Clean Technology & Sustainable Industries Organization (CTSI),,,mediapartner,http://www.ct-si.org/,", a 501c6 non-profit industry association, represents the organizations developing commercializing, and implementing energy, water, and environmental technologies. Clean technologies offer much needed solutions to growing resource security and sustainability concerns and are critical to maintaining economic competitiveness. CTSI brings together global leaders for advocacy, community development, networking, and information sharing to help bring these needed technologies to market more rapidly. Visit www.ct-si.org for more information. For more information, visit www.ct-si.org",
yes,yes,ecotuesday,EcoTuesday,,,mediapartner,http://www.ecotuesday.com/,"is a networking event for sustainable business. Every event features a 20 minute keynote by an industry thought–leader, followed by the hallmark “Introduction Circle” where all participants have an opportunity to share about their about passion and find like-minded collaborators. Events take place nationwide on the fourth Tuesday of the month. For more information, visit www.ecotuesday.com",
yes,yes,greenvc,Green VC,,,mediapartner,http://www.greenvc.org/,"connects entrepreneurs interested in environmental or social responsibility with information and resources to help them succeed. The Green VC website currently features a directory of funding sources, events calendar, and news on investments in enterprises that focus on environmental or social responsibility. ",
yes,yes,grist,Grist,,,mediapartner,http://www.grist.org/,"is a media organization that shapes the country’s environmental conversations, making green second nature for our monthly audience of 800,000. Planetary problems we take seriously. Ourselves, not so much. For more information, visit www.grist.org",
yes,yes,matter,Matter Network,,,mediapartner,http://www.matternetwork.com/,"is an online news and information company focused on solutions to environmental and social challenges. Matter’s content distribution network is forged from an alliance of 100+ expert publishers, topping comScore’s charts for attracting the most engaged and influential sustainability audience on the Internet.  Now a primary provider to Reuters Green Business News Service, Matter Network is also the leading syndicator of news, videos and web applications on sustainability topics. For more information, visit www.matternetwork.com",
yes,yes,technologyreview,MIT Technology Review,,,mediapartner,http://www.technologyreview.com/,"is the oldest technology magazine in the world. Our mission is to describe emerging technologies and analyze their impact. Technology Review’s media properties also include Technologyreview.com, a website that offers daily news and opinion, and events such as the Emerging Technologies Conference (EmTech) at MIT. 
",
yes,yes,vlab,MIT/Stanford Venture Lab  (VLAB),,,mediapartner,http://www.vlab.org/,"is a non-profit organization promoting the growth and success of high-tech entrepreneurial ventures by connecting ideas, technology and people. We provide a forum for entrepreneurs, industry experts, venture capitalists, private investors and technologists to exchange insights about how to effectively grow high-tech ventures amidst dynamic challenges.",
yes,yes,nextgen,NextGen Partners of Silicon Valley,,,mediapartner,http://www.nextgenpartners.org/,"facilitates the building of relationships among pre-partner Venture Capitalists. With a base of over 400 members representing over 200 firms, NextGen Partners is a catalyst for understanding the complementary skill sets of other investors, sharing deal-flow, and creating high-quality syndicates. We are building the relationships of tomorrow, today.",
,,tie,TiE,,,mediapartner,http://www.tiesv.org/,"is a non-profit network of entrepreneurs and professionals founded in Silicon Valley. TiE’s focus is on generating and nurturing our next generation of entrepreneurs through mentoring, networking, and education. There are currently more than 12,000 members and over 2,500 charter members in 53 chapters across 12 countries. In addition to its flagship event, TiEcon - the largest conference for entrepreneurs, TiE offers a wide range of programs including Special Interest Groups and TiE Institute.",
yes,yes,uptime,Uptime Institute,,,mediapartner,http://www.uptimeinstitute.org/,"provides education, publications, consulting, certifications, conferences and seminars, independent research, and thought leadership for the enterprise data center industry and for data center professionals. The Institute's data center engineering and management consulting arm, Uptime Institute Professional Services, helps clients develop and execute solutions that are responsive to their unique business needs to ensure their data centers are managed for uninterruptible uptime over sustained periods.",
yes,yes,venturebeat,VentureBeat,,,mediapartner,http://venturebeat.com/,"is a leading online innovation and technology news site for forward thinking executives and entrepreneurs. VentureBeat was recently ranked as the No. 1 business blog by PR firm Text100, and has also been selected by IDG to partner on the DEMO Conference series, where 70+ of the most compelling technology startups debut each year. VentureBeat also hosts its own conferences, such as MobileBeat and GamesBeat.",
yes,yes,women20,Women 2.0,,,mediapartner,http://www.women2.org/,"is committed to increasing the number of women entrepreneurs starting high growth ventures by providing the resources, network, and knowledge for the launch and growth of their company. Our vision is to be a catalyst for change, mobilizing a global community of ambitious women entrepreneurs seeking to advance the world through technology. Women 2.0 is headquartered in San Francisco.",
yes,yes,greenpeace,Greenpeace,,,primetime,http://www.greenpeace.org/,,
yes,yes,ibm,IBM,100,,primetime,http://ibm.com/,,
yes,yes,tropos,Tropos,,,primetime,http://www.tropos.com/,,
yes,yes,wordpress,Wordpress.com,,,primetime,http://www.wordpress.com,,
yes,yes,claremont,Claremont Creek Ventures,,,showtime,http://www.claremontvc.com/,,
yes,yes,dcm,DCM,,,showtime,http://www.dcm.com/,,
yes,yes,foundation,Foundation Capital,,,showtime,http://www.foundationcapital.com/,,
yes,yes,joyent,Joyent,,,showtime,http://www.joyent.com/,,
yes,yes,mayfield,Mayfield Fund,,,showtime,http://www.mayfield.com/,,
yes,yes,nasdaqomx,NASDAQ OMX,,,showtime,http://www.nasdaqomx.com/,,
yes,yes,smartsynch,SmartSynch,,,showtime,http://smartsynch.com/,,
yes,yes,svb,SVB,,,showtime,http://www.svb.com,,
yes,yes,trinet,TriNet,,,showtime,http://www.trinet.com/,,
yes,yes,usdoc,US Department of Commerce,,,showtime,http://www.trade.gov/,,
yes,yes,livestream,Livestream,,,streaming,http://livestream.com/,,
