Publish?,Logo Ready?,Slug,Name,Order,Tagline,Type,URL,Description,Media Partner URL
,,,,,,,,,http://event.gigaom.com/gigaomroadmap/sponsors/media-partners/
yes,yes,magnify,Magnify Communications,,,management,http://www.magnifycom.com/,,
yes,yes,eventbrite,Eventbrite,,,registration,http://eventbrite.com/,,
yes,yes,livestream,Livestream,,,streaming,http://livestream.com/,,
yes,yes,betaltd,Beta Ltd. ,1,,mediapartner,http://sfbeta.com/,", founded in 2006, produces startup mixers in prominent tech hubs across the world, including San Francisco, New York, Boulder, Boston, Dublin, London, and beyond.",
yes,yes,dat,DESIGN about TOWN,2,,mediapartner,http://designabouttown.com,"is a web design and graphic design firm in San Francisco, California. Since our opening in 2005 we have focused exclusively on providing top-notch branding execution, web design and  graphic design for our clients. For more information, visit www.designabouttown.com",
yes,yes,hpccloud,HPC in the Cloud ,3,,mediapartner,http://www.hpcinthecloud.com,"is dedicated to covering technical cloud computing in science, industry and the data center. The publication provides technology decision-makers and stakeholders in the computing industry (spanning government, industry, and academia) with accurate and current information on the latest developments in cloud computing. Subscribe now at: www.hpcinthecloud.com. ",
yes,yes,hpcwire,HPCwire ,4,,mediapartner,http://www.hpcwire.com,"is the most highly recognized and accessed news and information site covering High Performance Computing. HPCwire is the leading publication of choice by the global community of business and technology professionals from the academic, government, industrial communities interested in computationally- and data-intensive computing. Subscribe now at: www.hpcwire.com.",
yes,yes,parisoma,pariSoma,5,,mediapartner,http://www.pariSoma.com,"is a collaborative place for coworking and events in the SoMa district of San Francisco. We host events for entrepreneurs, startups and independent professionals while providing an innovative coworking space through which we seek to promote the growth of collective intelligence and innovation.",
yes,yes,plugnplay,PlugandPlayTechCenter.com,6,,mediapartner,http://www.PlugandPlayTechCenter.com," - Located in the heart of Silicon Valley, PlugandPlayTechCenter.com is a community of 300 technology startup companies in the areas of Web 2.0, software (SaaS), systems, semiconductor and telecomm verticals. Since its inception in January 2006 the center has helped the startups raise in excess of $750 million in venture funding. We are committed to cultivating the next generation of revolutionary start-ups in Silicon Valley that will impact people globally. For more information, visit www.PlugandPlayTechCenter.com",
yes,yes,techamerica,TechAmerica,7,,mediapartner,http://www.techamerica.org,"is the leading voice for the U.S. technology industry and the foundation of the global innovation economy.  Representing nearly 1,200 member companies, the association is the industry’s largest advocacy organization and is dedicated to helping members’ top and bottom lines. It is also the technology industry’s only grassroots-to-global advocacy network, with offices and partnerships in state capitals across the country, Washington DC, Europe (Brussels), Asia (Beijing), and around the world.",
yes,yes,techcentralsf,TechCentralSF,8,,mediapartner,http://www.techcentralsf.com/,"- San Francisco’s exclusive online directory resource and collaborative community for High Tech, Biotech, and Cleantech with over 1,000 start-up companies and established innovators making breakthroughs across San Francisco. TechCentralSF is a B2B exchange to support entrepreneurs, startups & the SF tech ecosystem. Collaborate and find extraordinary business opportunities for “All Things Tech in SF”!",
yes,yes,tec2,Technology Evaluation Centers (TEC),9,,mediapartner,http://www.technologyevaluation.com/," helps organizations choose the best enterprise software solutions for their unique needs—quickly and cost effectively. With detailed information on over 1,000 solutions in the world’s largest vendor database, TEC delivers a broad range of evaluation and selection resources to help ensure successful software selection projects.",
yes,yes,tie,TiE,10,,mediapartner,http://www.tiesv.org/,"is a non-profit network of entrepreneurs and professionals founded in Silicon Valley. TiE’s focus is on generating and nurturing our next generation of entrepreneurs through mentoring, networking, and education. There are currently more than 12,000 members and over 2,500 charter members in 53 chapters across 12 countries. In addition to its flagship event, TiEcon - the largest conference for entrepreneurs, TiE offers a wide range of programs including Special Interest Groups and TiE Institute. For more information, visit www.sv.tie.org",
yes,yes,founderinstitute,The Founder Institute ,11,,mediapartner,http://www.founderinstitute.com,"is a global network of startups and mentors that has launched over 400 startups across 20 cities and 4 continents. Through our four month pre-seed incubator program, you can launch your dream company with expert training, feedback, and support from experienced startup CEOs, without quitting your day job. For more information, visit www.founderinstitute.com",
yes,yes,ubergizmo,Ubergizmo,12,,mediapartner,http://www.ubergizmo.com/,"- Launched in 2004, Ubergizmo has quickly become one of the top consumer electronics websites in the US. Ubergizmo is a Webby Award Honoree, has been ranked as a Top100 Blog by PCMagazine, ranks Top100  in Nielsen's Blogpulse and Technorati, and was featured in the Hot Site on USA Today. For more information, visit www.ubergizmo.com",
yes,yes,untethertv,UNTETHER.tv,13,,mediapartner,http://www.UNTETHER.tv," is a video podcast focused on the mobile/wireless industry where we get insight into what it takes to build an innovative and growing business from the experts who are currently doing it. With over 100 hours of filmed conversation from the rock starts of the mobile/wireless world, UNTETHER is the most complete resource for learning how to participate and succeed in this space.",
yes,yes,vctaskforce,VC Taskforce,14,,mediapartner,http://www.vctaskforce.com/,"is the premier ""go-to"" organization for investors. We address the crucial issues and concerns in the venture community and produce workshops, roundtable meetings and panel events that provide tactical and strategic insights and information for both investors and portfolio companies. For more information, visit www.vctaskforce.com",
yes,yes,equinix,Equinix,,,primetime,http://www.equinix.com,,
yes,yes,yume,YuMe,,,showtime,http://www.yume.com,,
yes,yes,theplatform,thePlatform,,,showtime,http://www.theplatform.com/,,
yes,yes,etrade2,E*TRADE,,,headline,https://us.etrade.com/e/t/jumppage/viewjumppage?PageName=IPO_overview,,
yes,yes,quickoffice,Quickoffice,,,showtime,http://www.quickoffice.com,,
yes,yes,citrixonline,Citrix Online,,,showtime,http://www.citrixonline.com,,
yes,yes,brightcove,Brightcove,,,showtime,http://www.brightcove.com,,
yes,yes,tagged,Tagged,,,showtime,http://www.tagged.com,,
yes,yes,cointernet,.CO,,,showtime,http://www.opportunity.co,,
